time,house_price,rate,house_price_CSI,exchange_rate,house_CSI,land_rate,CLI
18-Oct,84.4,1.5,119,1139.6,108.1,0.41,112.6
18-Nov,84.6,1.75,104,1121.2,97,0.412,112.7
18-Dec,84.6,1.75,96,1115.7,90.1,0.363,112.6
19-Jan,84.5,1.75,91,1112.7,89.7,0.323,112.8
19-Feb,84.4,1.75,83,1124.7,93.9,0.313,113
19-Mar,84.3,1.75,85,1135.1,90.5,0.35,113.4
19-Apr,84,1.75,88,1168.2,88.1,0.351,113.7
19-May,83.8,1.75,95,1190.9,91.2,0.351,113.7
19-Jun,83.6,1.75,98,1154.7,98.2,0.35,113.7
19-Jul,83.6,1.5,107,1183.1,103.6,0.356,113.7
19-Aug,83.6,1.5,108,1211.2,106.7,0.361,114
19-Sep,83.7,1.5,108,1196.2,110.9,0.351,114.4
19-Oct,83.8,1.25,115,1163.4,116.5,0.384,115.1
19-Nov,84.1,1.25,122,1181.2,117.9,0.36,115.8
19-Dec,84.5,1.25,127,1156.4,117.6,0.358,116.6
20-Jan,84.9,1.25,119,1191.8,119.8,0.362,116.9
20-Feb,85.6,1.25,117,1213.7,123.5,0.37,117.2
20-Mar,86.7,0.75,113,1217.4,112.4,0.338,117
20-Apr,87.3,0.75,97,1218.2,106.9,0.287,117.1
20-May,87.7,0.5,97,1238.5,112.5,0.299,117.1
20-Jun,88.3,0.5,113,1203,126.7,0.341,117.8
20-Jul,89.1,0.5,124,1191.3,127.9,0.346,118.5
20-Aug,89.7,0.5,124,1187.8,126.4,0.308,119.5
20-Sep,90.3,0.5,117,1169.5,125.4,0.313,120.3
20-Oct,90.7,0.5,124,1135.1,132.6,0.307,121
20-Nov,91.3,0.5,130,1106.5,135.2,0.31,122
20-Dec,92.2,0.5,132,1086.3,134.5,0.327,122.7
21-Jan,93.2,0.5,131,1118.8,131.8,0.308,123.4
21-Feb,94.8,0.5,130,1123.5,129.7,0.313,124.1
21-Mar,96,0.5,126,1131.8,124.4,0.345,124.8
21-Apr,97.1,0.5,122,1112.3,121.6,0.357,125.6
21-May,98.1,0.5,125,1110.9,126.7,0.349,126.4
21-Jun,100,0.5,128,1126.1,131.1,0.361,127.1
21-Jul,101.5,0.5,129,1150.3,133.3,0.37,127.4
21-Aug,103.2,0.75,130,1159.5,134.2,0.381,127.5
21-Sep,104.8,0.75,130,1184,131.2,0.379,127.5
21-Oct,106.2,0.75,126,1168.6,120.6,0.364,127.5
21-Nov,107.1,1,116,1187.9,111.9,0.354,127.4
21-Dec,107.5,1,108,1188.8,103.4,0.341,127.7
22-Jan,107.5,1.25,100,1205.5,101.7,0.318,128
22-Feb,107.5,1.25,98,1202.3,103.6,0.311,128
22-Mar,107.4,1.25,105,1212.1,107.8,0.326,128.1
22-Apr,107.5,1.5,115,1255.9,110.4,0.335,128.3
22-May,107.4,1.75,111,1237.2,105,0.35,128.8
22-Jun,107.4,1.75,97,1298.4,100.3,0.338,129.2
22-Jul,107.2,2.25,76,1299.1,92.5,0.32,129.4
22-Aug,106.7,2.5,73,1337.6,87.5,0.305,129.6
22-Sep,105.9,2.5,66,1430.2,85.7,0.243,129.9
