time,house_price,rate,house_price_CSI,exchange_rate,house_CSI,land_rate,CLI
18-Jun,90.9,1.5,103,1114.5,106.8,0.424,112.3
18-Jul,91.2,1.5,102,1118.7,113.4,0.563,112.5
18-Aug,91.7,1.5,117,1112.9,129.7,0.613,112.4
18-Sep,92.9,1.5,137,1109.3,128.9,0.681,112.6
18-Oct,93.4,1.5,119,1139.6,117.1,0.69,112.6
18-Nov,93.6,1.75,102,1121.2,107.2,0.609,112.7
18-Dec,93.6,1.75,95,1115.7,93.7,0.433,112.6
19-Jan,93.4,1.75,92,1112.7,91.5,0.388,112.8
19-Feb,93.2,1.75,85,1124.7,94.5,0.275,113
19-Mar,93,1.75,88,1135.1,93.3,0.329,113.4
19-Apr,92.9,1.75,91,1168.2,91.1,0.378,113.7
19-May,92.8,1.75,94,1190.9,98.6,0.445,113.7
19-Jun,92.7,1.75,101,1154.7,112.2,0.44,113.7
19-Jul,92.8,1.5,112,1183.1,121.1,0.484,113.7
19-Aug,92.9,1.5,113,1211.2,120.1,0.485,114
19-Sep,93.1,1.5,117,1196.2,124.4,0.491,114.4
19-Oct,93.5,1.25,122,1163.4,133.6,0.483,115.1
19-Nov,94,1.25,125,1181.2,132.4,0.489,115.8
19-Dec,94.8,1.25,130,1156.4,128.4,0.475,116.6
20-Jan,95.1,1.25,117,1191.8,118.5,0.457,116.9
20-Feb,95.2,1.25,110,1213.7,122.7,0.425,117.2
20-Mar,95.3,0.75,110,1217.4,111.1,0.342,117
20-Apr,95.3,0.75,91,1218.2,103.8,0.306,117.1
20-May,95.2,0.5,92,1238.5,114.2,0.336,117.1
20-Jun,95.4,0.5,111,1203,135.2,0.374,117.8
20-Jul,96.1,0.5,127,1191.3,143.3,0.428,118.5
20-Aug,96.5,0.5,127,1187.8,135,0.419,119.5
20-Sep,96.7,0.5,115,1169.5,130.2,0.398,120.3
20-Oct,96.9,0.5,120,1135.1,134.6,0.375,121
20-Nov,97,0.5,126,1106.5,136.6,0.405,122
20-Dec,97.3,0.5,128,1086.3,133.7,0.437,122.7
21-Jan,97.7,0.5,127,1118.8,131.7,0.408,123.4
21-Feb,98.2,0.5,125,1123.5,127.1,0.418,124.1
21-Mar,98.5,0.5,118,1131.8,117.9,0.432,124.8
21-Apr,98.9,0.5,117,1112.3,118.2,0.446,125.6
21-May,99.3,0.5,119,1110.9,126.2,0.434,126.4
21-Jun,100,0.5,124,1126.1,130,0.452,127.1
21-Jul,100.6,0.5,127,1150.3,133,0.438,127.4
21-Aug,101.3,0.75,125,1159.5,135.9,0.433,127.5
21-Sep,102,0.75,125,1184,132.1,0.446,127.5
21-Oct,102.7,0.75,122,1168.6,119.9,0.432,127.5
21-Nov,103.3,1,113,1187.9,111.9,0.429,127.4
21-Dec,103.6,1,101,1188.8,102.1,0.418,127.7
22-Jan,103.6,1.25,95,1205.5,100.7,0.368,128
22-Feb,103.6,1.25,92,1202.3,101.5,0.347,128
22-Mar,103.6,1.25,96,1212.1,107.2,0.359,128.1
22-Apr,103.6,1.5,112,1255.9,113.8,0.378,128.3
22-May,103.7,1.75,108,1237.2,107.6,0.414,128.8
22-Jun,103.7,1.75,94,1298.4,100.8,0.404,129.2
22-Jul,103.6,2.25,85,1299.1,92.6,0.383,129.4
22-Aug,103.3,2.5,76,1337.6,87.5,0.342,129.6
22-Sep,102.8,2.5,65,1430.2,87.4,0.205,129.9
